Removed Member From Class: ClassName=Origin_pi Member=U??
Change Component Footprint: Designator=U? Old Footprint=LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0 New Footprint=USB-SMD_TYPE-C16PIN
Change Component Footprint: Designator=U? Old Footprint=MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL New Footprint=PCBComponent_1 - duplicate
Change Component Footprint: Designator=U? Old Footprint=R8723BS New Footprint=SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR
Change Footprint: Footprint Not Found R8723BS
Change Footprint: Footprint Not Found LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0
Change Component Footprint: Designator=U? Old Footprint=USB-SMD_TYPE-C16PIN New Footprint=SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR
Change Component Comment : Designator=U? Old Comment=CH340E New Comment=中景园2.0寸TFT12PIN焊接
Change Component Comment : Designator=U? Old Comment=RTL8723BS_Module New Comment=SY8088AAC
Change Component Comment : Designator=U? Old Comment=SY8088AAC New Comment=V3s
Change Component Comment : Designator=U? Old Comment=TYPE-C16PIN母座 板上四脚三次molding New Comment=XC6206P332MR-G
Change Component Comment : Designator=U? Old Comment=V3s New Comment=TYPE-C16PIN母座 板上四脚三次molding
Change Component Comment : Designator=U? Old Comment=XC6206P332MR-G New Comment=RTL8723BS_Module
Change component parameters: Designator = "U?" ("U?"); Footprint = "MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL"; UniqueID = "\IIAFBKSA" ("\IIAFBKSA")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "liam_sugar"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "link"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "中景园2.0寸TFT12PIN焊接"; VariantName = "[No Variations]"
Change component parameters: Designator = "U?" ("U?"); Footprint = "SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"; UniqueID = "\TDSKNAAJ" ("\TDSKNAAJ")
Change component parameters (AddParameter): Name = "8Bit Timer"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "16Bit Timer"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "32Bit Timer"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ADC (Bit)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CAN"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CCP Capture/Compare"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "communication protocol"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CPU Core"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CPU Maximum Speed"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DAC (Bit)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "V3s"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Direct Memory Access"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "GPIO Ports Number"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "I2C"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "I2S"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Infrared Data Association"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Internal Comparator"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Internal Oscillator"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCD Module"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "Allwinner V3s"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED Module"; Value = "-"; VariantName = "[No Variations]"
